name,address,phone,fax,email,website,keywords,latitude,longitude,pharmacy_code,notes
QUEENS PHARMACY,"585 QUEEN ST S , KITCHENER N2G 4S4",(519) 279-5225,(519) 279-5222,,,,43.4430863,-80.4955205,303659,
HUBBARD PHARMACY,"155 QUEEN ST E PO BOX 957 STN MAIN, ST. MARYS N4X 1B6",(519) 284-1380,(519) 284-1283,,,,43.259771,-81.1412599,307792,
JACKSONS GUARDIAN DRUGS,"32 WELLINGTON ST S PO BOX 448 STN MAIN, ST. MARYS N4X 1B2",(519) 284-1491,(519) 284-4294,,,,43.2586788,-81.1424016,11940,
LOBLAW PHARMACY,"780 QUEEN ST E , ST. MARYS N4X 1B1",(519) 284-3716,(519) 284-4962,,,,43.2602108,-81.1153841,301120,
THAMESFORD PHARMASAVE,"141 DUNDAS ST , THAMESFORD N0M 2M0",(519) 285-2425,(519) 285-2425,,,,43.0577912,-80.998546,11874,
GLENCOE PHARMACY,"253 MAIN ST , GLENCOE N0L 1M0",(519) 287-2731,(519) 287-2341,,,,42.749413,-81.7123253,303026,
ACCESS CARE PHARMACY,"35 METCALF ST , WOODSTOCK N4S 3E6",(519) 290-6100,(519) 290-6300,,,,43.1287671,-80.7564126,305392,
LISTOWEL MEMORIAL HOSPITAL,"PHARMACY DEPARTMENT 255 ELIZABETH ST E, LISTOWEL N4W 2P5",(519) 291-3120,(519) 291-2138,,,,43.7328982,-80.9494945,305749,
SHOPPERS DRUG MART,"210 WALLACE AVE N , LISTOWEL N4W 1K9",(519) 291-1930,(519) 291-3072,,,,43.7325187,-80.9515406,304989,
LISTOWEL REMEDYS RX,"600 MITCHELL RD , LISTOWEL N4W 3T1",(519) 291-5311,(519) 291-4051,,,,43.730309,-80.9688021,307430,
WAL-MART PHARMACY,"600 MITCHELL RD S , LISTOWEL N4W 3T1",(519) 291-6525,(519) 291-5094,,,,43.730309,-80.9688021,302983,
CDS PHARMACY,"163 MAIN ST P.O. BOX 370, AILSA CRAIG N0M 1A0",(519) 293-3246,(519) 293-3862,,,,43.1475048,-81.5364424,1164,
MCINTYRE PHARMACY,"238 MAIN ST PO BOX 38, PARKHILL N0M 2K0",(519) 294-6314,(519) 294-0536,,,,43.1622697,-81.684218,304401,
INGERSOLL MEDICAL PHARMACY,"17 THAMES ST S , INGERSOLL N5C 2S8",(519) 303-0255,(519) 303-0855,,,,43.04095,-80.8852089,308011,
ST. PAUL PHARMACY,"276 ST PAUL AVE , BRANTFORD N3R 4M8",(519) 304-0666,(519) 304-2979,,,,43.1532941,-80.2770593,307720,
PHARMASAVE - BRANTWOOD PHARMACY,"7 & 8 - 170 BRANTWOOD PARK RD , BRANTFORD N3P 1N7",(519) 304-3131,(519) 304-3132,,,,43.1835909,-80.2405739,308180,
BRANTFORD COMMONS PHARMACY,"H4 - 300 KING GEORGE RD , BRANTFORD N3R 5L8",(519) 304-8008,(519) 304-8003,,,,43.1829012,-80.2793046,306885,
NEW DAY BRANTFORD,"193 COLBORNE ST , BRANTFORD N3T 2G8",(519) 304-8181,(519) 304-8182,,,,43.1384629,-80.262642,306644,
BRANT PHARMACY,"104 - 265 KING GEORGE RD , BRANTFORD N3R 5L5",(519) 304-3646,(519) 304-8646,,,,43.1762602,-80.2804002,305029,
NORTH BRANT PHARMACY,"5 - 525 PARK RD N , BRANTFORD N3R 7K8",(519) 304-8855,(519) 304-8856,,,,43.1864308,-80.2508633,305606,
SHELBURNE TOWN PHARMACY,"103 - 712 MAIN ST E , SHELBURNE L9V 2Z4",(519) 306-5500,(519) 306-6600,,,,44.0783048,-80.2038515,307182,
ORANGE CARE PHARMACY,"2-170 LAKEVIEW COURT , ORANGEVILLE L9W 5J7",(519) 307-2006,(519) 307-4006,,,,43.9233594,-80.0828171,307513,
ORANGEVILLE PHARMACY,"50 ROLLING HILLS DR , ORANGEVILLE L9W 6T6",(519) 307-8100,(519) 307-8101,,,,43.9213744,-80.0738784,304807,
ERIN PHARMACY,"6 THOMPSON CRESC UNIT#6 , ERIN N0B 1T0",(519) 315-2000,(519) 315-2002,,,,43.7817859,-80.077955,302171,
REXALL,"197 TALBOT STREET WEST SUITE 204, LEAMINGTON N8H 1N8",(519) 322-2121,(519) 322-1790,,,,42.050475,-82.615167,307614,
ERIE SHORES HEALTHCARE,"PHARMACY DEPARTMENT 194 TALBOT ST W, LEAMINGTON N8H 1N9",(519) 326-2373,(519) 322-1999,,,,42.0487667,-82.6141669,305791,
ZEHRS DRUGSTORE PHARMACY,"201 TALBOT ST E , LEAMINGTON N8H 3X5",(519) 322-2760,(519) 322-3042,,,,42.0587347,-82.5870427,300107,
LEAMINGTON WELLNESS PHARMACY,"4 TALBOT ST E , LEAMINGTON N8H 1L2",(519) 322-4922,(519) 322-4924,,,,42.0529872,-82.599565,35588,
LOBLAW PHARMACY,"504 MAIN ST N SS 2, MOUNT FOREST N0G 2L2",(519) 323-2029,(519) 323-1205,,,,43.987841,-80.74144,300080,
WALSHS IDA PHARMACY MOUNT FOREST,"129 MAIN ST S PO BOX 700, MOUNT FOREST N0G 2L0",(519) 323-1221,(519) 323-4291,,,,43.9811559,-80.7352569,304242,
LOUISE MARSHALL HOSPITAL,"PHARMACY DEPARTMENT 630 DUBLIN ST, MOUNT FOREST N0G 2L3",(519) 323-3333,(519) 323-4509,,,,43.9745666,-80.7376401,305794,
WAL-MART PHARMACY,"304 ERIE ST S , LEAMINGTON N8H 3C5",(519) 326-8747,(519) 324-0966,,,,42.0366631,-82.5978547,37916,
THOMSON GUARDIAN PHARMACY,"20 TALBOT ST E , LEAMINGTON N8H 1L2",(519) 326-5778,(519) 326-0691,,,,42.0529956,-82.5991005,12237,
SHOPPERS DRUG MART,"269 ERIE ST S , LEAMINGTON N8H 3C4",(519) 326-2663,(519) 326-2995,,,,42.0380845,-82.6019932,306619,
OAK STREET EAST PHARMACY,"B - 250 OAK ST E , LEAMINGTON N8H 4V4",(519) 326-7474,(519) 326-7676,,,,42.045699,-82.587376,307620,
HOGAN PHARMACY,"481 LONDON ROAD , SARNIA N7T 4X3",(519) 332-1032,(519) 332-1072,,,,42.9777468,-82.3885359,300314,
REXALL,"697 CATHCART BLVD , SARNIA N7V 2N6",(519) 332-5575,(519) 332-3749,,,,43.0041391,-82.3867568,305372,
FRONT ST. PHARMACY,"265 FRONT ST. , SARNIA N7T 7X1",(519) 336-7575,(519) 336-7570,,,,42.9754295,-82.4076373,303825,
SHOPPERS DRUG MART,"123 MITTON ST S , SARNIA N7T 3C5",(519) 336-1234,(519) 336-7685,,,,42.9697405,-82.3987861,18267,
FOOD BASICS PHARMACY,"191 INDIAN RD , SARNIA N7T 3W3",(519) 337-1500,(519) 337-5800,,,,42.9632706,-82.3782419,40668,
SARNIA PHARMACY,"206 MAXWELL ST , SARNIA N7T 5C3",(519) 337-3215,(519) 337-6800,,,,42.9813882,-82.4012425,8409,
THE MEDICINE SHOPPE PHARMACY,"429 EXMOUTH ST , SARNIA N7T 5P1",(519) 337-1119,(519) 337-6999,,,,42.9850452,-82.388663,300935,
BMC PHARMACY,"118 VICTORIA ST. N , SARNIA N7T 5W9",(519) 337-9900,(519) 337-9906,,,,42.9712548,-82.4056469,306039,
SHOPPERS DRUG MART,"260 INDIAN RD S , SARNIA N7T 3W4",(519) 337-3727,(519) 337-9963,,,,42.9652095,-82.3753591,307968,
ACHESON PHARMACY,"16 ELORA ST PO BOX 239, HARRISTON N0G 1Z0",(519) 338-3230,(519) 338-2518,,,,43.9130049,-80.8713858,302868,
THE POINT CARE PHARMACY,"112 - 704 MARA ST , POINT EDWARD N7V 1X4",(519) 332-0332,(519) 339-0093,,,,42.990061,-82.4017615,304716,
CENTREPOINT IDA PHARMACY,"3-889 EXMOUTH ST , SARNIA N7T 5R3",(519) 339-0909,(519) 339-9292,,,,42.9841519,-82.3484603,302819,
THE PHARMASHOPPE,"25 JOSEPH ST , KITCHENER N2G 4X6",(519) 342-3315,(519) 342-3317,,,,43.4483559,-80.4916843,300652,
THE PRESCRIPTION SHOPPE,"261 MAIN ST W PO BOX 728, PALMERSTON N0G 2P0",(519) 343-3912,(519) 343-2854,,,,43.8342841,-80.8504498,17715,
PALMERSTON AND DISTRICT HOSPITAL,"PHARMACY DEPARTMENT 500 WHITES RD, PALMERSTON N0G 2P0",(519) 343-2030,(519) 343-3845,,,,43.8390386,-80.8431368,305796,
RAPIDS PHARMACHOICE,"5-1150 PONTIAC DR , SARNIA N7S 3A7",(519) 344-0100,(519) 344-0200,,,,42.9806579,-82.3611161,302148,
VIDAL PHARMACY,"373 VIDAL ST. S , SARNIA N7T 2V3",(519) 344-2222,(519) 344-1222,,,,42.961106,-82.406595,301511,
SHOPPERS DRUG MART,"510 EXMOUTH ST , SARNIA N7T 5P3",(519) 344-2409,(519) 344-7827,,,,42.9861296,-82.3867992,6353,
NORTHGATE PHARMACY,"560 EXMOUTH ST , SARNIA N7T 5P5",(519) 344-8222,(519) 344-8223,,,,42.9865351,-82.3843846,301187,
MITCHELL MEDICAL PHARMACY,"7 FRANCES STREET BOX 1073, MITCHELL N0K 1N0",(519) 348-9100,(519) 348-9108,,,,43.4768142,-81.1926771,302820,
WALTHERS IDA PHARMACY,"40 ONTARIO RD PO BOX 518, MITCHELL N0K 1N0",(519) 348-8833,(519) 348-9524,,,,43.4676299,-81.1975062,14191,
LOBLAW PHARMACY,"791 ST CLAIR ST , CHATHAM N7L 0E9",(519) 351-1543,(519) 351-7977,,,,42.4323659,-82.2180871,33068,
FOOD BASICS PHARMACY,"448 ST CLAIR ST , CHATHAM N7L 3K5",(519) 351-1329,(519) 351-8194,,,,42.4161383,-82.202884,306842,
SHOPPERS DRUG MART,"420 QUEEN ST , CHATHAM N7M 2J2",(519) 352-3360,(519) 352-3407,,,,42.3962226,-82.1773966,307819,
SHOPPERS DRUG MART,"416 ST CLAIR ST , CHATHAM N7L 3K5",(519) 352-3200,(519) 352-5236,,,,42.4150177,-82.2015673,307042,
CHATHAM PHARMASAVE,"125 KEIL DR S , CHATHAM N7M 3H3",(519) 352-0404,(519) 352-9393,,,,42.391145,-82.2053897,306172,
PAISLEY PHARMACY,"514 QUEEN ST S PO BOX 579, PAISLEY N0G 2N0",(519) 353-5707,(844) 951-5055,,,,44.3055422,-81.2729095,15065,
ELSTON PHARMACY,"80 GRAND AVE W , CHATHAM N7M 5L9",(519) 354-2444,(519) 354-0003,,,,42.4050582,-82.1936363,301250,
SHOPPERS DRUG MART,"485 GRAND AVE W , CHATHAM N7L 1C5",(519) 354-1660,(519) 354-7007,,,,42.4012847,-82.2067912,306714,
RX DRUG MART,"55 JOSEPHINE ST PO BOX 1090, WINGHAM N0G 2W0",(519) 357-2170,(519) 357-1143,,,,43.8815182,-81.3157337,306350,
WINGHAM AND DISTRICT HOSPITAL,"PHARMACY DEPARTMENT 270 CARLING TERRACE, WINGHAM N0G 2W0",(519) 357-3711,(519) 357-2931,,,,43.8846873,-81.3065284,305748,
JAMES BROWN PHARMACY,"198 JOSEPHINE ST PO BOX 38, WINGHAM N0G 2W0",(519) 357-1629,(519) 357-3657,,,,43.885534,-81.3137748,302946,
MEDICAL PLACE PHARMACY,"20 EMMA ST , CHATHAM N7L 5K5",(519) 358-1000,(519) 358-1003,,,,42.406575,-82.1908636,33708,
BMC PHARMACY,"69 GRAND AVE. E , CHATHAM N7L 1V8",(519) 358-1200,(519) 358-1205,,,,42.4095956,-82.1892494,306040,
WAL-MART PHARMACY,"881 ST CLAIR ST , CHATHAM N7L 0E9",(519) 352-9874,(519) 358-1366,,,,42.4339387,-82.2187664,35188,
REXALL,"403 MCNAUGHTON AVE W , CHATHAM N7L 4K4",(519) 358-1900,(519) 358-1796,,,,42.4054417,-82.2145626,305310,
REXALL,"55 FIRST AVE S , CHESLEY N0G 1L0",(519) 363-3304,(519) 363-3554,,,,44.2990936,-81.0951688,305376,
SOUTH BRUCE GREY HEALTH CENTRE,"PHARMACY DEPARTMENT 39 2ND STREET, CHESLEY N0G 1L0",(519) 363-2340,(519) 363-9871,,,,44.2985651,-81.0931562,305609,
WAL-MART PHARMACY,"1100 - 10TH ST , HANOVER N4N 3B8",(519) 364-0645,(519) 364-0829,,,,44.1588837,-80.9979849,39684,
HANOVER PHARMASAVE,"101-118 7TH AVE , HANOVER N4N 2G9",(519) 364-4422,(519) 364-3155,,,,44.1420958,-81.0294736,40988,
REXALL,"342 10TH ST , HANOVER N4N 1P4",(519) 364-2300,(519) 364-3592,,,,44.1524784,-81.0263658,305234,
HANOVER AND DISTRICT HOSPITAL,"PHARMACY DEPARTMENT 90 7TH AVE, HANOVER N4N 1N1",(519) 364-2340,(519) 364-3984,,,,44.1414676,-81.0293336,305814,
LOBLAW PHARMACY,"832 - 10TH ST , HANOVER N4N 1S3",(519) 364-7310,(519) 364-4210,,,,44.1563707,-81.0080842,36316,
SHOPPERS DRUG MART,"895 10TH ST. , HANOVER N4N 1S4",(519) 364-3141,(519) 364-5431,,,,44.1550807,-81.0048042,304994,
STEWARTS PHARMACY,"1024 HIGHWAY 9 PO BOX 351, MILDMAY N0G 2J0",(519) 367-5521,(519) 367-5515,,,,44.0389712,-81.1103846,304433,
RX DRUG MART,"203-207 GARAFRAXA ST N , DURHAM N0G 1R0",(519) 369-3340,(519) 369-5114,,,,44.1772107,-80.8184009,306352,
WHOLE HEALTH DURHAM APOTHECARY,"320 COLLEGE ST PO BOX 678, DURHAM N0G 1R0",(519) 369-5330,(519) 369-5251,,,,44.1798659,-80.828585,302498,
SOUTH BRUCE GREY HEALTH CENTRE,"PHARMACY DEPARTMENT 320 COLLEGE STREET, DURHAM N0G 1R0",(519) 369-2340,(519) 369-6180,,,,44.1798659,-80.828585,305608,
DRUGSTORE PHARMACY 4277 NO FRILLS,"1020 10TH STREET WEST , OWEN SOUND N4K 5S1",(519) 370-0346,(519) 370-0348,,,,44.5632982,-80.9676794,300566,
WAL-MART PHARMACY,"1555 18TH AVE E , OWEN SOUND N4K 6Y3",(519) 371-0120,(519) 371-1659,,,,44.5734684,-80.9112266,3921,
LOBLAW PHARMACY,"1150 16TH ST E , OWEN SOUND N4K 1Z3",(519) 371-0758,(519) 371-3089,,,,44.5746755,-80.9245756,35980,
REXALL,"963 2ND AVE E , OWEN SOUND N4K 2H5",(519) 371-0751,(519) 371-5343,,,,44.5670363,-80.9426751,305344,
SHOPPERS DRUG MART,"1183 16TH ST E , OWEN SOUND N4K 1Z4",(519) 371-5230,(519) 371-6415,,,,44.5733195,-80.9235819,307746,
HEALTH CENTRE PHARMACY,"1800 8TH ST E PO BOX 1800, OWEN SOUND N4K 6M9",(519) 372-3926,(519) 372-3952,,,,44.5673884,-80.9122467,32516,
SHOPPERS DRUG MART,"100 10TH ST. WEST , OWEN SOUND N4K 3P9",(519) 376-2876,(519) 376-2299,,,,44.5683428,-80.9448779,307791,
REXALL,"1507 - 9TH AVE. E. , OWEN SOUND N4K 3E9",(519) 376-6406,(519) 376-5155,,,,44.570175,-80.9275997,305345,
REXALL,"1415-1ST AVENUE WEST , OWEN SOUND N4K 4K8",(519) 376-4751,(519) 376-7153,,,,44.5731966,-80.944446,305506,
TURBITT PHARMACY LIMITED PHARMASAVE,"17B - 104 GREY RD , TOWNSHIP OF GEORGIAN BLUFFS N4K 5R7",(519) 376-0120,(519) 376-8150,,,,44.5554892,-80.9909714,303807,
Brightshores Health System,"PHARMACY DEPARTMENT 1800 8TH STREET EAST, OWEN SOUND N4K 6M9",(519) 376-2121,(519) 376-8984,,,,44.5673884,-80.9122467,305614,
SOBEYS PHARMACY,"215 PARK AVE WEST , CHATHAM N7M 1W3",(519) 380-0988,(519) 380-0731,,,,42.3925744,-82.184364,301104,
CHATHAM CENTRE PHARMACY,"100 KING ST W , CHATHAM N7M 6A9",(519) 380-9000,(519) 380-9001,,,,42.4043015,-82.1838543,307451,
MITTON STREET PHARMACY,"130 MITTON ST N , SARNIA N7T 6G6",(519) 383-8888,(519) 383-1100,,,,42.9717243,-82.397939,308205,
HOGAN PHARMACY,"457 LONDON RD , SARNIA N7T 4W9",(519) 336-2224,(519) 383-7733,,,,42.9777423,-82.3893196,3343,
LOBLAW PHARMACY,"600 MURPHY RD , SARNIA N7S 5T7",(519) 383-8133,(519) 383-8049,,,,42.9774048,-82.3658701,25585,
WARDROP PHARMASAVE,"639 GODERICH ST PO BOX 100, PORT ELGIN N0H 2C0",(519) 832-2015,(519) 389-4923,,,,44.4367393,-81.3881554,6122,
WAL-MART PHARMACY,"5122 HIGHWAY 21 , PORT ELGIN N0H 2C0",(519) 389-6160,(519) 389-6163,,,,44.4222298,-81.3950982,301496,
DRUGSTORE PHARMACY,"1244 HIGHWAY 21 , PORT ELGIN N0H 2C0",(519) 389-6805,(519) 389-6807,,,,44.4534646,-81.3759155,300201,
TEESWATER PHARMACY,"14 CLINTON ST S P.O.BOX 250, TEESWATER N0G 2S0",(519) 392-3000,(519) 392-3001,,,,43.9978101,-81.2870241,307586,
GORDON PHARMASAVE,"767 QUEEN ST PO BOX 670, KINCARDINE N2Z 2Z4",(519) 396-3364,(519) 396-3366,,,,44.1797169,-81.6348995,13474,
SOUTH BRUCE GREY HEALTH CENTRE,"PHARMACY DEPARTMENT 1199 QUEEN ST, KINCARDINE N2Z 1G6",,(519) 396-3699,,,,44.1874831,-81.6255952,305607,
SHOPPERS DRUG MART,"781 BROADWAY ST , KINCARDINE N2Z 2G1",(519) 396-6220,(519) 396-6282,,,,44.1762231,-81.6150675,307068,
REXALL,"1116 SUTTON ST , KINCARDINE N2Z 2C6",(519) 396-3353,(519) 396-9154,,,,44.1799938,-81.6162663,305269,
MCKECHNIE PHARMACY LTD,"1201 QUEEN ST , KINCARDINE N2Z 3C1",(519) 396-2133,(519) 396-9576,,,,44.1859536,-81.6280063,22533,
MCNAUGHTON PHARMACY,"2 - 180 MCNAUGHTON AVE W , CHATHAM N7L 4Z7",(519) 397-1991,(519) 397-4020,,,,42.4106848,-82.2050117,306245,
RICHMOND PHARMACY,"141 RICHMOND ST , CHATHAM N7M 1P1",(519) 397-5555,(519) 397-5454,,,,42.3985553,-82.188336,303422,
CENTRAL DRUG MART,"250 ERIE ST S , LEAMINGTON N8H 3C2",(519) 398-9339,(519) 398-9336,,,,42.0393337,-82.5986993,307455,
LISTOWEL CARE PHARMACY,"C - 975 WALLACE AVE N , LISTOWEL N4W 1M6",(519) 418-1800,(519) 418-1802,,,,43.7420003,-80.9463431,308146,
ELITE DRUG MART,"250 TECUMSEH RD E , WINDSOR N8X 2R3",(519) 419-1602,(519) 419-1603,,,,42.297683,-83.0221438,307071,
PRINCESS PHARMACY,"201 - 600 PRINCESS ST. , WOODSTOCK N4S 4H4",(519) 421-1222,(519) 421-0111,,,,43.1321517,-80.7522978,302310,
LOBLAW PHARMACY,"969 DUNDAS ST , WOODSTOCK N4S 1H2",(519) 421-3363,(519) 421-2430,,,,43.1354121,-80.7313161,36420,
REXALL,"706 DUNDAS ST. , WOODSTOCK N4S 1E7",(519) 421-3784,(519) 421-3406,,,,43.1308471,-80.7462986,305370,
REXALL,"379 SPRINGBANK AVE N , WOODSTOCK N4T 1H3",(519) 421-2118,(519) 421-4002,,,,43.1462285,-80.7376451,305361,
WOODSTOCK HOSPITAL,"PHARMACY DEPARTMENT 310 JULIANA DR, WOODSTOCK N4V 0A4",(519) 421-4211,(519) 421-4235,,,,43.106565,-80.7538992,305720,
PHARMASAVE @ WGH,"WOODSTOCK GENERAL HOSPITAL 310 JULIANA DR, WOODSTOCK N4V 0A1",(519) 421-4272,(519) 421-4273,,,,43.1073477,-80.755658,303171,
MEDICAL ACCESS CARE PHARMACY,"4-729 DEVONSHIRE AVE , WOODSTOCK N4S 5R3",(519) 421-7340,(519) 421-9610,,,,43.144185,-80.7500655,308018,
WOODSTOCK MEDICAL PHARMACY,"461 DUNDAS ST , WOODSTOCK N4S 1C2",(519) 421-9225,(519) 421-9922,,,,43.1302081,-80.7576203,300455,
SAUBLE PHARMACY,"329 MAIN ST GENERAL DELIVERY, SAUBLE BEACH N0H 2G0",(519) 422-2584,(519) 422-3776,,,,44.6302646,-81.2655338,24037,
YOUNGS PHARMACY,"136 THAMES ST S , INGERSOLL N5C 2T4",(519) 425-1599,(519) 425-1603,,,,43.038266,-80.882862,29908,
INGERSOLL REMEDYS RX,"273 KING ST W , INGERSOLL N5C 2K9",(519) 425-2118,(519) 425-5669,,,,43.0317725,-80.8932912,307431,
CLARKS PHARMASAVE WHITEHORSE PLAZA,"WHITE HORSE PLAZA 454 NORFOLK ST S, SIMCOE N3Y 2X3",(519) 426-6580,(519) 426-3680,,,,42.8218634,-80.2988854,7732,
LOBLAW PHARMACY,"125 QUEENSWAY E , SIMCOE N3Y 4M5",(519) 426-1032,(519) 426-5096,,,,42.8509475,-80.2956976,38564,
WAL-MART PHARMACY,"160 QUEENSWAY E , SIMCOE N3Y 0A8",(519) 426-2586,(519) 426-5798,,,,42.8489584,-80.2857024,301271,
ROULSTONS PHARMACY,"17 NORFOLK ST S , SIMCOE N3Y 2V8",(519) 426-1731,(519) 426-8396,,,,42.8369349,-80.3035955,15230,
ROULSTONS PHARMACY,"65 DONLY DRIVE N. , SIMCOE N3Y 0C2",(519) 426-8011,(519) 426-9111,,,,42.8470716,-80.2897422,303299,
SOBEYS PHARMACY,"438 NORFOLK ST. S , SIMCOE N3Y 2X3",(519) 426-6773,(519) 426-9287,,,,42.8227116,-80.3001565,301521,
CLARKS PHARMASAVE WEST STREET HEALTH CENTRE,"216 WEST ST , SIMCOE N3Y 1S8",(519) 426-7750,(519) 426-9726,,,,42.8349686,-80.3106472,29868,
HOPE PHARMACY SIMCOE,"80 NORFOLK ST S , SIMCOE N3Y 2W2",(226) 400-9040,(519) 428-2880,,,,42.83534,-80.3037043,304907,
WATER STREET PHARMACY,"25 WATER ST , SIMCOE N3Y 1P8",(519) 428-3329,(519) 428-9068,,,,42.8357188,-80.3028337,307522,
SHOPPERS DRUG MART,"470 NORFOLK ST N , SIMCOE N3Y 3P7",(519) 429-3110,(519) 429-3662,,,,42.8472358,-80.307992,304706,
REXALL,"350 OXFORD ST E , LONDON N6A 1V7",(519) 432-7164,(519) 432-0410,,,,42.9973044,-81.2479682,305270,
REXALL SPECIALTY,"841-845 CONSORTIUM CRT , LONDON N6E 2S8",(519) 685-0473,(519) 432-1358,,,,42.9345393,-81.2036512,305300,
SHOPPERS DRUG MART,"510 HAMILTON RD , LONDON N5Z 1S4",(519) 432-2673,(519) 432-1897,,,,42.980769,-81.2162859,304352,
AIM DRUG MART,"LONDON MEDICAL DENTAL BUILDING 450 CENTRAL AVE, LONDON N6B 2E8",(519) 432-3763,(519) 432-8044,,,,42.9933995,-81.2412928,306226,
PRECISE PHARMACY,"813 RICHMOND ST , LONDON N6A 3H6",(519) 432-3686,(519) 432-8134,,,,42.9972992,-81.2545291,307570,
MEDPOINT CARE PHARMACY,"169 - 355 WELLINGTON ST , LONDON N6A 3N7",(519) 434-1111,(519) 432-9998,,,,42.9778063,-81.2420245,304922,
SHOPPERS DRUG MART,"CHERRYHILL VILLAGE MALL 301 OXFORD ST W, LONDON N6H 1S6",(519) 433-4071,(519) 433-2797,,,,42.9900309,-81.2750615,17145,
PHILLBROOK PHARMACY,"105 - 1599 ADELAIDE ST N , LONDON N5X 4E8",(519) 434-3555,(519) 434-0443,,,,43.0377925,-81.2566236,307536,
MEDICINE SHOPPE,"279 WHARNCLIFFE RD N , LONDON N6H 2C2",(519) 434-4774,(519) 434-5166,,,,42.9931701,-81.2648318,303489,
LONDON MEDICAL PHARMACY - ADVANTAGE CARE PHARMACY SERVICE,"113-1135 ADELAIDE ST N , LONDON N5Y 5K7",(519) 434-5333,(519) 434-6776,,,,43.0138546,-81.2446123,37484,
LOBLAW PHARMACY,"825 OXFORD ST E , LONDON N5Y 3J8",(519) 434-5411,(519) 434-7233,,,,43.0016699,-81.2271209,300279,
MEDSAVE PHARMACY,"102 - 240 WHARNCLIFFE RD N , LONDON N6H 4P2",(519) 435-0100,(519) 435-0400,,,,42.9855461,-81.2631883,307172,
MEDICINE SHOPPE,"413 KING ST , LONDON N6B 1S5",(519) 435-0675,(519) 435-0676,,,,42.9851724,-81.2384808,27764,
REXALL,"401 ST. CLAIR ST , CHATHAM N7L 3K3",(519) 436-0005,(519) 436-1444,,,,42.4147854,-82.1991911,305332,
CHATHAM-KENT HEALTH ALLIANCE,"PHARMACY DEPARTMENT - SYDENHAM CAMPUS 325 MARGARET AVE, WALLACEBURG N8A 2A7",(519) 437-6006,(519) 436-2522,,,,42.5984682,-82.3668708,305766,
CHATHAM-KENT HEALTH ALLIANCE,"PHARMACY DEPARTMENT 80 GRAND AVE W, CHATHAM N7M 5L9",(519) 437-6006,(519) 436-2522,,,,42.4046309,-82.19385,305767,
COMMISSIONERS PHARMACY,"5-163 COMMISSIONERS RD W , LONDON N6J 1X9",(519) 438-5555,(519) 438-0297,,,,42.9568173,-81.2683546,33676,
VISCOUNT PHARMACY,"231 WHARNCLIFFE RD S , LONDON N6J 2L3",(519) 438-4567,(519) 438-3722,,,,42.9679723,-81.2620413,306142,
WORTLEY VILLAGE PHARMASAVE,"190 WORTLEY RD , LONDON N6C 4Y7",(519) 438-6600,(519) 438-6655,,,,42.9713334,-81.2519693,300608,
CHAPMANS PHARMACY,"648-650 DUNDAS ST , LONDON N5W 2Y8",(519) 439-8411,(519) 439-5036,,,,42.9893955,-81.2301657,307485,
CANADIAN APOTHECARY,"1064 ADELAIDE ST N , LONDON N5Y 2N1",(519) 439-4100,(519) 439-7799,,,,43.0095886,-81.2413207,33332,
THE WILLETT URGENT CARE CENTRE,"PHARMACY DEPARTMENT 238 GRAND RIVER ST N, PARIS N3L 2N7",(519) 442-2251,(519) 442-5172,,,,43.2045736,-80.3870839,305858,
NORTHVILLE PHARMACY,"3-300 GRAND RIVER ST N , PARIS N3L 3R7",(519) 442-4283,(519) 442-5415,,,,43.192413,-80.3830596,303571,
SOBEYS PHARMACY,"307 GRAND RIVER ST N , PARIS N3L 2N9",(519) 442-1044,(519) 442-5860,,,,43.2126105,-80.3888156,38964,
REXALL,"72 GRAND RIVER ST N , PARIS N3L 2M2",(519) 442-2203,(519) 442-7662,,,,43.1935743,-80.3845238,305272,
REST ACRES PHARMACY,"1084 REST ACRES RD , PARIS N3L 0B5",(519) 442-7474,(519) 442-9595,,,,43.1793441,-80.3851761,302706,
WATERFORD PHARMACY AND HEALTH FOOD LTD,"9 ALICE ST , WATERFORD N0E 1Y0",(519) 443-0123,(519) 443-0124,,,,42.9351179,-80.2919284,308062,
REXALL,"FIRST WATERFORD PLACE PLAZA RR#3, WATERFORD N0E 1Y0",(519) 443-8333,(519) 443-4741,,,,42.9316056,-80.2895832,305278,
PHARMASAVE,"1769 CHIEFSWOOD RD PO BOX 848, OHSWEKEN N0A 1M0",(519) 445-4471,(519) 445-4661,,,,43.07337,-80.1156744,21923,
OHSWEKEN BEST CARE PHARMACY,"753 SOUR SPRINGS RD RR 6, HAGERSVILLE N0A 1H0",(519) 445-2922,(519) 445-4997,,,,43.0563551,-80.1960234,306552,
THE MEDICINE SHOPPE,"75A MAIN ST S PO BOX 99, SAINT-GEORGES N0E 1N0",(519) 448-1368,(519) 448-1728,,,,43.241342,-80.252039,29108,
PHARMASAVE BURFORD PHARMACY,"128 KING ST , BURFORD N0E 1A0",(519) 449-2446,(519) 449-5341,,,,43.1033076,-80.4303268,307962,
REXALL,"1551 DUNDAS ST E , LONDON N5W 3B8",(519) 451-0510,(519) 451-0205,,,,42.9986421,-81.1943848,305267,
FANSHAWE COLLEGE PHARMACY,"1001 FANSHAWA COLLEGE BLVD J 1000, LONDON N5Y 5R6",(519) 451-0025,(519) 451-0753,,,,43.0129902,-81.1994209,306330,
